0,1,2,3,4,5,6,7
PARTY,NAME,MTS,,,,,
PO.NO,(All),,,,,,
Sum,of,KGS,QTY,,,,
DATE,G.P.NO.,DESCRIPTION,SIZE,COLOR,IN,OUT,
10/8/2024,7799,5,BAGS,YARN,20/S,PC,221
10/14/2024,7834,5,BAGS,YARN,20/S,PC,221
10/14/2024,14364,DRAWCORD,1.5,CM,PC,139.4,
10/19/2024,7867,5,BAGS,YARN,20/S,PC,221
10/21/2024,14389,DRAWCORD,1.5,CM,PC,243.1,
10/23/2024,2457,10,BAGS,YARN,10/S,PC,442
10/29/2024,14472,DRAWCORD,1.5,CM,PC,390.6,
11/2/2024,16063,10,BAGS,YARN,10/S,PC,442
11/5/2024,14508,DRAWCORD,1.5,CM,PC,298.9,
11/9/2024,7958,10,BAGS,YARN,10/S,PC,442
11/10/2024,14523,DRAWCORD,1.5,CM,PC,353.7,
11/16/2024,14560,DRAWCORD,1.5,CM,PC,252.7,
11/20/2024,14580,10,BAGS,YARN,10/S,PC,442
11/23/2024,2535,8,BAGS,YARN,10/S,PC,353.6
11/23/2024,14587,DRAWCORD,1.5,CM,PC,394.25,
11/25/2024,2537,7,BAGS,YARN,10/S,PC,309.4
11/26/2024,14600,DRAWCORD,1.5,CM,PC,244.55,
11/30/2024,14617,DRAWCORD,1.5,CM,PC,217.8,
12/4/2024,14629,DRAWCORD,1.5,CM,PC,177.15,
12/5/2024,16333,10,BAGS,YARN,10/S,PC,442
12/8/2024,14643,DRAWCORD,1.5,CM,PC,243.8,
12/10/2024,14649,DRAWCORD,1.5,CM,PC,116.15,
12/10/2024,16368,10,BAGS,YARN,10/S,PC,442
12/11/2024,14008,DRAWCORD,1.5,CM,PC,169.1,
12/11/2024,16376,10,BAGS,YARN,10/S,PC,442
12/12/2024,14011,DRAWCORD,1.5,CM,PC,96.6,
12/14/2024,14015,DRAWCORD,1.5,CM,PC,154.6,
12/15/2024,10457,33,BAGS,YARN,10/S,PC,1412.385
12/15/2024,14021,DRAWCORD,1.5,CM,PC,230.5,
12/16/2024,14022,DRAWCORD,1.5,CM,PC,162.4,
12/17/2024,14023,DRAWCORD,1.5,CM,PC,205.3,
12/21/2024,10461,DRAWCORD,1.5,CM,PC,236.3,
12/21/2024,14036,DRAWCORD,1.5,CM,PC,240.5,
12/24/2024,14047,DRAWCORD,1.5,CM,PC,255.6,
12/26/2024,14051,DRAWCORD,1.5,CM,PC,347.25,
12/29/2024,14055,DRAWCORD,1.5,CM,PC,258.75,
12/30/2024,2599,10,BAGS,YARN,10/S,PC,442
12/31/2024,14064,DRAWCORD,1.5,CM,PC,100,
1/4/2025,14083,DRAWCORD,1.5,CM,PC,358.6,
1/5/2025,14084,DRAWCORD,1.5,CM,PC,138.5,
1/6/2025,2625,10,BAGS,YARN,20/S,PC,442
1/7/2025,14095,DRAWCORD,1.5,CM,PC,106.5,
1/8/2025,1093,2,BAGS,YARN,20/S,PC,88.4
1/8/2025,2628,7,BAGS,YARN,20/S,PC,309.4
1/8/2025,2628,8,BAGS,YARN,20/S,PC,353.6
1/8/2025,2631,5,BAGS,YARN,10/S,PC,221
1/8/2025,10671,2,BAGS,YARN,20/S,PC,88.4
1/8/2025,14097,8,BAGS,YARN,20/S,PC,353.6
1/9/2025,14151,DRAWCORD,1.5,CM,PC,200.85,
1/13/2025,14161,40,BAGS,YARN,10/S,PC,1768
1/15/2025,14159,DRAWCORD,1.5,CM,PC,382.8,
1/16/2025,14160,DRAWCORD,1.5,CM,PC,288.4,
1/19/2025,14175,DRAWCORD,1.5,CM,PC,273.95,
Grand,Total,9456.785,7720.6,,,,
BALANCE,1499.77,,,,,,
BAGS,BAL.,33.9313DETAIL,,,,,
,,,,,,,
